THIN INVESTIGATION ENTRIES AUDIT
================================

Summary: 0-item=26, 1-item=225, 2-item=0, 3-item=168, TOTAL=419


w.ts   | wartime-civil-liberties                                    | Wartime Civil Liberties
w.ts   | wework-collapse                                            | Wework Collapse
w.ts   | white-supremacist-terrorism                                | White Supremacist Terrorism
w.ts   | white-supremacist-violence                                 | White Supremacist Violence
w.ts   | white-supremacy                                            | White Supremacy
w.ts   | wmd-lies                                                   | WMD Lies
w.ts   | worker-misclassification                                   | Worker Misclassification
y.ts   | yemen-war-crimes                                           | Yemen War Crimes
y.ts   | youtube-extremism                                          | Youtube Extremism

=== 3 CONTENT ITEM(S) ===
1.ts   | 1980s-insider-trading                                      | 1980s Insider Trading Scandals
1.ts   | 1mdb-scandal                                               | 1MDB Sovereign Wealth Fund Scandal
2.ts   | 2016-election                                              | 2016 Election Interference
a.ts   | abacus-scandal                                             | Goldman Sachs Abacus CDO Fraud
a.ts   | activision-harassment                                      | Activision Blizzard Workplace Harassment
a.ts   | adelphia-fraud                                             | Adelphia Communications Fraud
a.ts   | adelphia-scandal                                           | Adelphia Corporate Corruption
a.ts   | agency-regulatory-capture-new-evidence                     | Agency Regulatory Capture New Evidence
a.ts   | agribusiness-capture-of-usda                               | Agribusiness Capture of USDA
a.ts   | agricultural-policy                                        | Agricultural Policy & Corporate Farming
a.ts   | ahmaud-arbery-murder                                       | Ahmaud Arbery Murder
a.ts   | ai-surveillance-state-infrastructure                       | AI Surveillance State Infrastructure
a.ts   | aids-crisis                                                | AIDS Crisis Government Failure
a.ts   | airport-biometric-collection-programs                      | Airport Biometric Collection Programs
a.ts   | amazon-labor                                               | Amazon Labor Exploitation
a.ts   | anti-abortion-violence                                     | Anti-Abortion Violence
a.ts   | anti-lgbtq-extremism                                       | Anti-LGBTQ Extremism
a.ts   | anti-lgbtq-movement                                        | Anti-LGBTQ Political Movement
a.ts   | anti-trans                                                 | Anti-Transgender Campaign
a.ts   | antisemitic-violence                                       | Antisemitic Violence
a.ts   | antisemitism                                               | Antisemitism in America
a.ts   | archegos-collapse                                          | Archegos Capital Management Collapse
a.ts   | arms-export-to-authoritarian-regimes                       | Arms Export to Authoritarian Regimes
a.ts   | arpaio-civil-rights                                        | Joe Arpaio Civil Rights Violations
a.ts   | art-market-money-laundering-operations                     | Art Market Money Laundering Operations
a.ts   | asbestos-cover-up-decades-of-death                         | Asbestos Cover-Up Decades of Death
a.ts   | aurora-shooting                                            | Aurora Theater Shooting
a.ts   | authoritarianism                                           | Global Authoritarian Trends
a.ts   | autonomous-weapons                                         | Autonomous Weapons Development
a.ts   | autonomous-weapons-development-race                        | Autonomous Weapons Development Race
a.ts   | aviation-safety                                            | Aviation Safety Regulatory Failures
b.ts   | ballot-chain-of-custody-violations                         | Ballot Chain of Custody Violations
b.ts   | bank-discrimination                                        | Banking Discrimination
b.ts   | banking-corruption                                         | Banking Industry Corruption
b.ts   | banking-crimes                                             | Banking Sector Criminal Activity
b.ts   | banking-lobby-capture-of-fed                               | Banking Lobby Capture of Fed
b.ts   | bankruptcy-fraud-hidden-asset-schemes                      | Bankruptcy Fraud Hidden Asset Schemes
b.ts   | big-pharma-patent-evergreening                             | Big Pharma Patent Evergreening
b.ts   | big-tech-antitrust-failures                                | Big Tech Antitrust Failures
b.ts   | big-tech-monopoly                                          | Big Tech Monopoly
b.ts   | big-tobacco-conspiracy                                     | Big Tobacco Conspiracy
b.ts   | billionaire-tax-avoidance                                  | Billionaire Tax Avoidance
b.ts   | boeing-safety-failures                                     | Boeing Safety Failures
b.ts   | bop-failures                                               | BOP Failures
b.ts   | border-deaths                                              | Border Deaths
b.ts   | boston-archdiocese-coverup                                 | Boston Archdiocese Coverup
b.ts   | botham-jean-murder                                         | Botham Jean Murder
b.ts   | brian-sicknick                                             | Brian Sicknick
b.ts   | buffalo-massacre                                           | Buffalo Massacre
c.ts   | cambridge-analytica-global-operations                      | Cambridge Analytica Global Operations
c.ts   | campaign-finance-loopholes-exploited                       | Campaign Finance Loopholes Exploited
c.ts   | cash-bail-system-economic-racism                           | Cash Bail System Economic Racism
c.ts   | catholic-church-abuse                                      | Catholic Church Abuse
c.ts   | cbs-sexual-harassment                                      | CBS Sexual Harassment
c.ts   | celsius-collapse                                           | Celsius Collapse
c.ts   | central-america-death-squads                               | Central America Death Squads
c.ts   | charleston-massacre                                        | Charleston Massacre
c.ts   | charlie-rose-harassment                                    | Charlie Rose Harassment
c.ts   | chemical-plant-explosion-investigation                     | Chemical Plant Explosion Investigation
c.ts   | chemical-plant-safety-failures                             | Chemical Plant Safety Failures
c.ts   | chevron-ecuador                                            | Chevron Ecuador
c.ts   | chicago-police-coverup                                     | Chicago Police Coverup
c.ts   | chicago-police-torture                                     | Chicago Police Torture
c.ts   | child-exploitation                                         | Child Exploitation
c.ts   | child-exploitation-online-networks                         | Child Exploitation Online Networks
c.ts   | child-sexual-abuse                                         | Child Sexual Abuse
c.ts   | china-business-complicity                                  | China Business Complicity
c.ts   | china-cyber-espionage                                      | China Cyber Espionage
c.ts   | chinese-triad-financial-networks                           | Chinese Triad Financial Networks
c.ts   | church-committee-revelations                               | Church Committee Revelations
c.ts   | cia-black-site-torture-program                             | CIA Black Site Torture Program
c.ts   | citizens-united-dark-money-pipeline                        | Citizens United Dark Money Pipeline
c.ts   | civil-asset-forfeiture-abuse                               | Civil Asset Forfeiture Abuse
c.ts   | classification-system-reform-failures                      | Classification System Reform Failures
c.ts   | classified-document-declassification-delays                | Classified Document Declassification Delays
c.ts   | climate-change-denial-industry                             | Climate Change Denial Industry
c.ts   | cointelpro-domestic-surveillance-legacy                    | COINTELPRO Domestic Surveillance Legacy
c.ts   | construction-industry-bid-rigging-networks                 | Construction Industry Bid Rigging Networks
c.ts   | construction-worker-trafficking-schemes                    | Construction Worker Trafficking Schemes
c.ts   | corporate-capture-of-epa                                   | Corporate Capture of EPA
c.ts   | corporate-environmental-crime-prosecution-gap              | Corporate Environmental Crime Prosecution Gap
c.ts   | cryptocurrency-money-laundering-networks                   | Cryptocurrency Money Laundering Networks
d.ts   | depleted-uranium-battlefield-legacy                        | Depleted Uranium Battlefield Legacy
d.ts   | digital-advertising-surveillance-pipeline                  | Digital Advertising Surveillance Pipeline
d.ts   | dna-database-privacy-violations                            | DNA Database Privacy Violations
d.ts   | domestic-terrorism                                         | NO TITLE
d.ts   | drug-recall-delay-responsibility                           | Drug Recall Delay Responsibility
d.ts   | drug-war-racial-disparities                                | Drug War Racial Disparities
e.ts   | election-denial                                            | Election Denial Movement
e.ts   | election-manipulation-through-algorithms                   | Election Manipulation Through Algorithms
e.ts   | electoral-college-manipulation                             | Electoral College Manipulation
e.ts   | electromagnetic-field-reproductive-impact                  | Electromagnetic Field Reproductive Impact
e.ts   | electronic-voting-machine-vulnerabilities                  | Electronic Voting Machine Vulnerabilities
e.ts   | emf-radiation-research-suppression                         | EMF Radiation Research Suppression
e.ts   | environmental-justice-community-mapping                    | Environmental Justice Community Mapping
e.ts   | extraordinary-rendition-flight-logs                        | Extraordinary Rendition Flight Logs
f.ts   | facial-recognition-policing-bias                           | Facial Recognition Policing Bias
f.ts   | fda-advisory-committee-conflicts                           | FDA Advisory Committee Conflicts
f.ts   | financial-fraud-network-mapping                            | Financial Fraud Network Mapping
f.ts   | foster-care-to-trafficking-pipeline                        | Foster Care to Trafficking Pipeline
g.ts   | generic-drug-price-fixing-conspiracy                       | Generic Drug Price Fixing Conspiracy
g.ts   | government-contract-fraud-patterns                         | Government Contract Fraud Patterns
g.ts   | government-records-destruction-incidents                   | Government Records Destruction Incidents
g.ts   | gulf-of-tonkin-fabricated-incident                         | Gulf of Tonkin Fabricated Incident
h.ts   | health-data-privacy-violation-patterns                     | Health Data Privacy Violation Patterns
h.ts   | hotel-industry-trafficking-complicity-report               | Hotel Industry Trafficking Complicity Report
h.ts   | human-trafficking-global-networks                          | Human Trafficking Global Networks
i.ts   | industrial-water-contamination-database                    | Industrial Water Contamination Database
i.ts   | inspector-general-independence-threats                     | Inspector General Independence Threats
i.ts   | insurance-fraud-organized-networks                         | Insurance Fraud Organized Networks
i.ts   | iran-contra-full-financial-trail                           | Iran-Contra Full Financial Trail
j.ts   | journalistic-source-protection-failures                    | Journalistic Source Protection Failures
l.ts   | law-enforcement-social-media-monitoring                    | Law Enforcement Social Media Monitoring
l.ts   | license-plate-reader-mass-collection                       | License Plate Reader Mass Collection
l.ts   | long-haul-trucking-route-exploitation                      | Long Haul Trucking Route Exploitation
m.ts   | mass-formation-psychosis-media-analysis                    | Mass Formation Psychosis Media Analysis
m.ts   | mass-surveillance-domestic-architecture                    | Mass Surveillance Domestic Architecture
m.ts   | media-consolidation-democracy-threat                       | Media Consolidation Democracy Threat
m.ts   | military-industrial-complex-profit-pipeline                | Military Industrial Complex Profit Pipeline
m.ts   | mining-industry-environmental-destruction                  | Mining Industry Environmental Destruction
m.ts   | modern-behavioral-influence-programs                       | Modern Behavioral Influence Programs
n.ts   | nuclear-weapons-complex-environmental-crime                | Nuclear Weapons Complex Environmental Crime
o.ts   | operation-ajax-iran-coup-1953                              | Operation Ajax Iran Coup 1953
o.ts   | operation-condor-latin-america-terror                      | Operation Condor Latin America Terror
o.ts   | operation-fast-and-furious-gun-walking                     | Operation Fast and Furious Gun Walking
o.ts   | operation-gladio-stay-behind-networks                      | Operation Gladio Stay-Behind Networks
o.ts   | operation-mockingbird-modern-successors                    | Operation Mockingbird Modern Successors
o.ts   | operation-paperclip-nazi-scientist-import                  | Operation Paperclip Nazi Scientist Import
o.ts   | operation-pbsuccess-guatemala-coup                         | Operation PBSUCCESS Guatemala Coup
o.ts   | organized-crime-in-construction-industry                   | Organized Crime in Construction Industry
p.ts   | parkland-shooting                                          | NO TITLE
p.ts   | penny-stock-pump-and-dump-networks                         | Penny Stock Pump and Dump Networks
